City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Korla,CN,2021-12-21 13:26:36,41.7597,86.1469,28.18,55,0,3.38
269,Gidole,ET,2021-12-21 13:26:37,5.65,37.3667,77.94,28,100,7.94
270,Bantry,IE,2021-12-21 13:27:37,51.6833,-9.45,48.15,85,100,15.21
271,Tame,CO,2021-12-21 13:27:37,6.461,-71.73,81.93,55,97,7.52
272,Samastipur,IN,2021-12-21 13:27:38,25.85,85.7833,63.3,39,2,6.2
273,Synya,RU,2021-12-21 13:27:38,65.3718,58.0387,-8.01,100,93,1.74
274,Quelimane,MZ,2021-12-21 13:27:38,-17.8786,36.8883,85.95,62,40,10.36
275,Bandundu,CD,2021-12-21 13:27:39,-3.3167,17.3667,93.02,43,99,3.85
276,Buraydah,SA,2021-12-21 13:27:39,26.326,43.975,63.05,21,0,10.16
277,Lisala,CD,2021-12-21 13:27:39,2.15,21.5167,95.99,28,93,4.27
278,Karoi,ZW,2021-12-21 13:27:40,-16.8099,29.6925,77.31,54,100,7.7
279,Jalu,LY,2021-12-21 13:27:40,29.0331,21.5482,61.54,32,0,8.55
280,Filingue,NE,2021-12-21 13:27:40,14.3521,3.3168,84.34,11,12,15.41
281,Osorno,CL,2021-12-21 13:23:51,-40.5667,-73.15,59.25,72,20,6.91
282,Corinto,GR,2021-12-21 13:27:41,37.9407,22.9573,53.42,68,100,5.64
283,Kalmunai,LK,2021-12-21 13:27:41,7.4167,81.8167,78.21,84,34,10.25
284,Sandwick,GB,2021-12-21 13:27:41,60.0,-1.25,42.62,87,40,13.8
285,San Andres,CO,2021-12-21 13:27:42,12.5847,-81.7006,77.02,94,78,5.75
286,Padang,ID,2021-12-21 13:27:42,-0.9492,100.3543,80.65,85,100,2.77
287,Pedra Branca,BR,2021-12-21 13:27:42,-5.4542,-39.7172,83.37,52,98,9.08
288,Port Blair,IN,2021-12-21 13:27:43,11.6667,92.75,78.91,73,3,2.98
289,Kyzyl-Suu,KG,2021-12-21 13:27:43,42.3414,78.0056,24.78,59,4,10.71
